Ejemplar;Objetivo;Resultado;Margen Mejora (%);Tiempo ejecución; Método Ordenación;    Método Colocación; Optimización Local; Número Mejoras; Timeout
ejemplar_calibrado_11.txt;663232,6517;85655,5025;87,08514994;208,0039537;NUM_OPERATIONS;SPOT_INV;True;51;True
ejemplar_calibrado_12.txt;528955,4915;64768,3321;87,75542874;97,20767021;TOTAL_PIECE_DURATION;SPOT_INV;True;22;False
ejemplar_calibrado_13.txt;254594,4775;48511,6632;80,94551631;26,92191529;WORKING_COST_SUM;SPOT_INV;True;4;False
ejemplar_calibrado_14.txt;361545,2138;48668,9206;86,53863507;40,44441295;WORKING_COST_AVERAGE;SPOT_INV;True;10;False
ejemplar_calibrado_15.txt;302721,478;57162,9539;81,1169811;41,96874833;WORKING_COST_RMS;SPOT_INV;True;18;False
ejemplar_calibrado_16.txt;831939,4643;87086,3862;89,53212464;202,8652933;WORKING_COST_AVERAGE_INV;SPOT_INV;True;44;False
ejemplar_calibrado_17.txt;582646,5866;67592,7826;88,39900822;208,0145779;RUPTURE_COST_INV;SPOT_INV;True;35;True
ejemplar_calibrado_18.txt;492769,3146;66439,5937;86,51710004;106,4747996;WORKING_COST_AVERAGE;SPOT_INV;True;9;False
ejemplar_calibrado_19.txt;687485,8057;67264,9998;90,21579802;91,54691505;WORKING_COST_SUM_INV;SPOT_INV;True;14;False
ejemplar_calibrado_20.txt;801621,0562;88447,2997;88,96644505;179,1409371;RUPTURE_COST_INV;SPOT_INV;True;28;False
;;;86,70721871;;;;;;
