Ejemplar;Objetivo;Resultado;Margen Mejora (%);Tiempo ejecución; Método Ordenación;    Método Colocación; Optimización Local; Número Mejoras; Timeout; WentToRandom; RandomImproved
ejemplar_calibrado_1.txt;1046616,5362999989;79934,33549999996;92,36259578101222;258,0000104904175;RANDOM;SPOT_INV;True;13;False;Yes;Yes;
ejemplar_calibrado_2.txt;878505,2744000006;66522,11599999992;92,4278068739618;258,00006675720215;TOTAL_PIECE_DURATION_INV;SPOT_INV;True;48;False;Yes;No;
ejemplar_calibrado_3.txt;692378,5527999996;81372,42100000018;88,2474087807995;258,0156617164612;RANDOM;SPOT_INV;True;8;False;Yes;Yes;
ejemplar_calibrado_4.txt;1011503,1860000028;75915,67790000004;92,49476630911968;258,0156226158142;RANDOM;SPOT_INV;True;15;False;Yes;Yes;
ejemplar_calibrado_5.txt;799996,6457999988;83061,58870000001;89,61725788025797;258,01562309265137;RUPTURE_COST;SPOT_INV;True;54;False;Yes;No;
ejemplar_calibrado_6.txt;956312,0344;80396,50609999996;91,5930676172614;258,0156273841858;WORKING_COST_SUM;SPOT_INV;True;16;False;Yes;No;
ejemplar_calibrado_7.txt;503223,68860000005;66916,48460000004;86,70243748139801;258,0156228542328;RANDOM;SPOT_INV;True;41;False;Yes;Yes;
ejemplar_calibrado_8.txt;1340866,870800001;106670,92990000006;92,04462931981033;258,0156247615814;WORKING_COST_AVERAGE;SPOT_INV;True;38;False;Yes;No;
ejemplar_calibrado_9.txt;1172856,2666999982;116178,5183000003;90,09439420681227;258,04687428474426;TOTAL_PIECE_DURATION_INV;SPOT_INV;True;63;True;Yes;No;
ejemplar_calibrado_10.txt;1480549,0513999995;79620,08300000003;94,6222596998923;258,0155682563782;WORKING_COST_AVERAGE;SPOT_INV;True;1;False;Yes;No;
ejemplar_calibrado_11.txt;663232,651700002;84131,13420000001;87,31498909404498;258,03119945526123;RANDOM;SPOT_INV;True;52;False;Yes;Yes;
ejemplar_calibrado_12.txt;528955,4914999999;64768,332100000094;87,75542873818522;258,0156219005585;TOTAL_PIECE_DURATION;SPOT_INV;True;22;False;Yes;No;
ejemplar_calibrado_13.txt;254594,47749999998;47808,386500000044;81,22175038144728;258,01562309265137;RANDOM;SPOT_INV;True;7;False;Yes;Yes;
ejemplar_calibrado_14.txt;361545,2138000008;47566,420899999976;86,84357610489273;258,00000166893005;RANDOM;SPOT_INV;True;14;False;Yes;Yes;
ejemplar_calibrado_15.txt;302721,478;54693,1039;81,9328630854531;258,0156240463257;RANDOM;SPOT_INV;True;21;False;Yes;Yes;
ejemplar_calibrado_16.txt;831939,464299999;87086,38619999995;89,53212463922779;258,0234532356262;WORKING_COST_AVERAGE_INV;SPOT_INV;True;44;False;Yes;No;
ejemplar_calibrado_17.txt;582646,5866000005;68483,68849999997;88,24610148329668;258,0156044960022;RANDOM;SPOT_INV;True;23;False;Yes;Yes;
ejemplar_calibrado_18.txt;492769,3145999998;65075,719099999966;86,79387754636781;258,00629448890686;RANDOM;SPOT_INV;True;8;False;Yes;Yes;
ejemplar_calibrado_19.txt;687485,8057000003;67264,99979999998;90,21579802196635;258,01562237739563;WORKING_COST_SUM_INV;SPOT_INV;True;16;False;Yes;No;
ejemplar_calibrado_20.txt;801621,0562;88419,3845;88,96992739697448;258,01562309265137;RUPTURE_COST_INV;SPOT_INV;True;30;False;Yes;No;
ejemplar_calibrado_21.txt;1257212,1845000014;101379,59840000031;91,93615845838153;258,01562571525574;RANDOM;SPOT_INV;True;22;False;Yes;Yes;
ejemplar_calibrado_22.txt;2179698,5394999897;112474,24549999998;94,83991738023548;258,03124809265137;RANDOM;SPOT_INV;True;12;False;Yes;Yes;
ejemplar_calibrado_23.txt;839081,3936000009;82480,52060000002;90,17014067656476;258,00017833709717;NUM_OPERATIONS_INV;SPOT_INV;True;76;False;Yes;No;
ejemplar_calibrado_24.txt;1005809,131600002;73019,41439999998;92,74023151054081;258,0156066417694;RUPTURE_COST_INV;SPOT_INV;True;32;False;Yes;No;
ejemplar_calibrado_25.txt;717861,3448000003;76878,6224;89,29060285013414;258,0312485694885;WORKING_COST_SUM_INV;SPOT_INV;True;31;False;Yes;No;
